run,task,subset,score
Q4B-LORA-RELER-Seed3407-s3407,BrightRetrieval,robotics,23.17
Q4B-LORA-RELER-Seed3407-s3407,BrightRetrieval,stackoverflow,31.47
Q4B-LORA-RELER-Seed3407-s3407,BrightRetrieval,sustainable_living,35.03
Q4B-LORA-RELER-Seed3407-s3407,BrightRetrieval,pony,7.02
Q4B-LORA-RELER-Seed3407-s3407,BrightRetrieval,leetcode,14.69
Q4B-LORA-RELER-Seed3407-s3407,BrightRetrieval,aops,3.83
Q4B-LORA-RELER-Seed3407-s3407,BrightRetrieval,theoremqa_theorems,47.17
Q4B-LORA-RELER-Seed3407-s3407,BrightRetrieval,theoremqa_questions,22.1
Q4B-LORA-RELER-Seed2026-s2026,BrightRetrieval,biology,43.33
Q4B-LORA-RELER-Seed2026-s2026,BrightRetrieval,earth_science,45.88
Q4B-LORA-RELER-Seed2026-s2026,BrightRetrieval,economics,31.87
Q4B-LORA-RELER-Seed2026-s2026,BrightRetrieval,psychology,42.65
Q4B-LORA-RELER-Seed2026-s2026,BrightRetrieval,robotics,23.12
Q4B-LORA-RELER-Seed2026-s2026,BrightRetrieval,stackoverflow,32.17
Q4B-LORA-RELER-Seed2026-s2026,BrightRetrieval,sustainable_living,34.39
Q4B-LORA-RELER-Seed2026-s2026,BrightRetrieval,pony,6.42
Q4B-LORA-RELER-Seed2026-s2026,BrightRetrieval,leetcode,14.44
Q4B-LORA-RELER-Seed2026-s2026,BrightRetrieval,aops,4.47
Q4B-LORA-RELER-Seed2026-s2026,BrightRetrieval,theoremqa_theorems,47.34
Q4B-LORA-RELER-Seed2026-s2026,BrightRetrieval,theoremqa_questions,22.1
Q4B-LORA-RELER-s42,BrightRetrieval,biology,42.52
Q4B-LORA-RELER-s42,BrightRetrieval,earth_science,46.13
Q4B-LORA-RELER-s42,BrightRetrieval,economics,31.9
Q4B-LORA-RELER-s42,BrightRetrieval,psychology,41.73
Q4B-LORA-RELER-s42,BrightRetrieval,robotics,22.93
Q4B-LORA-RELER-s42,BrightRetrieval,stackoverflow,32.77
Q4B-LORA-RELER-s42,BrightRetrieval,sustainable_living,33.98
Q4B-LORA-RELER-s42,BrightRetrieval,pony,6.21
Q4B-LORA-RELER-s42,BrightRetrieval,leetcode,15.16
Q4B-LORA-RELER-s42,BrightRetrieval,aops,4.04
Q4B-LORA-RELER-s42,BrightRetrieval,theoremqa_theorems,46.6
Q4B-LORA-RELER-s42,BrightRetrieval,theoremqa_questions,22.18
Q4B-LORA-RELER-NoRescale-Seed2026-s2026,BrightRetrieval,biology,42.89
Q4B-LORA-RELER-NoRescale-Seed2026-s2026,BrightRetrieval,earth_science,45.53
Q4B-LORA-RELER-NoRescale-Seed2026-s2026,BrightRetrieval,economics,31.27
Q4B-LORA-RELER-NoRescale-Seed2026-s2026,BrightRetrieval,psychology,40.87
Q4B-LORA-RELER-NoRescale-Seed2026-s2026,BrightRetrieval,robotics,23.29
Q4B-LORA-RELER-NoRescale-Seed2026-s2026,BrightRetrieval,stackoverflow,31.38
Q4B-LORA-RELER-NoRescale-Seed2026-s2026,BrightRetrieval,sustainable_living,33.08
Q4B-LORA-RELER-NoRescale-Seed2026-s2026,BrightRetrieval,pony,5.06
Q4B-LORA-RELER-NoRescale-Seed2026-s2026,BrightRetrieval,leetcode,14.98
Q4B-LORA-RELER-NoRescale-Seed2026-s2026,BrightRetrieval,aops,4.29
Q4B-LORA-RELER-NoRescale-Seed2026-s2026,BrightRetrieval,theoremqa_theorems,45.39
Q4B-LORA-RELER-NoRescale-Seed2026-s2026,BrightRetrieval,theoremqa_questions,22.51
Q4B-LORA-RELER-NoPairwise-CP-Seed2026-s2026,BrightRetrieval,biology,43.45
Q4B-LORA-RELER-NoPairwise-CP-Seed2026-s2026,BrightRetrieval,earth_science,45.5
Q4B-LORA-RELER-NoPairwise-CP-Seed2026-s2026,BrightRetrieval,economics,30.28
Q4B-LORA-RELER-NoPairwise-CP-Seed2026-s2026,BrightRetrieval,psychology,41.55
Q4B-LORA-RELER-NoPairwise-CP-Seed2026-s2026,BrightRetrieval,robotics,21.44
Q4B-LORA-RELER-NoPairwise-CP-Seed2026-s2026,BrightRetrieval,stackoverflow,29.55
Q4B-LORA-RELER-NoPairwise-CP-Seed2026-s2026,BrightRetrieval,sustainable_living,32.66
Q4B-LORA-RELER-NoPairwise-CP-Seed2026-s2026,BrightRetrieval,pony,5.98
Q4B-LORA-RELER-NoPairwise-CP-Seed2026-s2026,BrightRetrieval,leetcode,15.09
Q4B-LORA-RELER-NoPairwise-CP-Seed2026-s2026,BrightRetrieval,aops,3.76
Q4B-LORA-RELER-NoPairwise-CP-Seed2026-s2026,BrightRetrieval,theoremqa_theorems,47.14
Q4B-LORA-RELER-NoPairwise-CP-Seed2026-s2026,BrightRetrieval,theoremqa_questions,21.61
Q4B-LORA-RELER-NoPairwise-CP-Seed3407-s3407,BrightRetrieval,biology,42.03
Q4B-LORA-RELER-NoPairwise-CP-Seed3407-s3407,BrightRetrieval,earth_science,45.45
Q4B-LORA-RELER-NoPairwise-CP-Seed3407-s3407,BrightRetrieval,economics,29.84
Q4B-LORA-RELER-NoPairwise-CP-Seed3407-s3407,BrightRetrieval,psychology,42.2
Q4B-LORA-RELER-NoPairwise-CP-Seed3407-s3407,BrightRetrieval,robotics,21.6
Q4B-LORA-RELER-NoPairwise-CP-Seed3407-s3407,BrightRetrieval,stackoverflow,29.36
Q4B-LORA-RELER-NoPairwise-CP-Seed3407-s3407,BrightRetrieval,sustainable_living,33.68
Q4B-LORA-RELER-NoPairwise-CP-Seed3407-s3407,BrightRetrieval,pony,5.82
Q4B-LORA-RELER-NoPairwise-CP-Seed3407-s3407,BrightRetrieval,leetcode,14.76
Q4B-LORA-RELER-NoPairwise-CP-Seed3407-s3407,BrightRetrieval,aops,3.6
Q4B-LORA-RELER-NoPairwise-CP-Seed3407-s3407,BrightRetrieval,theoremqa_theorems,47.24
Q4B-LORA-RELER-NoPairwise-CP-Seed3407-s3407,BrightRetrieval,theoremqa_questions,21.38
Q4B-LORA-RELER-NoRescale-Seed3407-s3407,BrightRetrieval,biology,41.03
Q4B-LORA-RELER-NoRescale-Seed3407-s3407,BrightRetrieval,earth_science,45.35
Q4B-LORA-RELER-NoRescale-Seed3407-s3407,BrightRetrieval,economics,30.7
Q4B-LORA-RELER-NoRescale-Seed3407-s3407,BrightRetrieval,psychology,38.37
Q4B-LORA-RELER-NoRescale-Seed3407-s3407,BrightRetrieval,robotics,22.42
Q4B-LORA-RELER-NoRescale-Seed3407-s3407,BrightRetrieval,stackoverflow,30.15
Q4B-LORA-RELER-NoRescale-Seed3407-s3407,BrightRetrieval,sustainable_living,33.48
Q4B-LORA-RELER-NoRescale-Seed3407-s3407,BrightRetrieval,pony,5.26
Q4B-LORA-RELER-NoRescale-Seed3407-s3407,BrightRetrieval,leetcode,14.95
Q4B-LORA-RELER-NoRescale-Seed3407-s3407,BrightRetrieval,aops,3.7
Q4B-LORA-RELER-NoRescale-Seed3407-s3407,BrightRetrieval,theoremqa_theorems,44.8
Q4B-LORA-RELER-NoRescale-Seed3407-s3407,BrightRetrieval,theoremqa_questions,22.54
Q4B-LORA-RELER-NoPairwise-CP-s42,BrightRetrieval,biology,40.68
Q4B-LORA-RELER-NoPairwise-CP-s42,BrightRetrieval,earth_science,43.26
Q4B-LORA-RELER-NoPairwise-CP-s42,BrightRetrieval,economics,29.45
Q4B-LORA-RELER-NoPairwise-CP-s42,BrightRetrieval,psychology,41.01
Q4B-LORA-RELER-NoPairwise-CP-s42,BrightRetrieval,robotics,21.46
Q4B-LORA-RELER-NoPairwise-CP-s42,BrightRetrieval,stackoverflow,30.21
Q4B-LORA-RELER-NoPairwise-CP-s42,BrightRetrieval,sustainable_living,31.89
Q4B-LORA-RELER-NoPairwise-CP-s42,BrightRetrieval,pony,5.56
Q4B-LORA-RELER-NoPairwise-CP-s42,BrightRetrieval,leetcode,16.09
Q4B-LORA-RELER-NoPairwise-CP-s42,BrightRetrieval,aops,3.87
Q4B-LORA-RELER-NoPairwise-CP-s42,BrightRetrieval,theoremqa_theorems,47.23
Q4B-LORA-RELER-NoPairwise-CP-s42,BrightRetrieval,theoremqa_questions,21.81
Q4B-LORA-RELER-NoRescale-s42,BrightRetrieval,biology,39.92
Q4B-LORA-RELER-NoRescale-s42,BrightRetrieval,earth_science,43.88
Q4B-LORA-RELER-NoRescale-s42,BrightRetrieval,economics,30.95
Q4B-LORA-RELER-NoRescale-s42,BrightRetrieval,psychology,38.73
Q4B-LORA-RELER-NoRescale-s42,BrightRetrieval,robotics,22.75
Q4B-LORA-RELER-NoRescale-s42,BrightRetrieval,stackoverflow,30.64
Q4B-LORA-RELER-NoRescale-s42,BrightRetrieval,sustainable_living,32.75
Q4B-LORA-RELER-NoRescale-s42,BrightRetrieval,pony,5.27
Q4B-LORA-RELER-NoRescale-s42,BrightRetrieval,leetcode,15.18
Q4B-LORA-RELER-NoRescale-s42,BrightRetrieval,aops,3.72
Q4B-LORA-RELER-NoRescale-s42,BrightRetrieval,theoremqa_theorems,44.37
Q4B-LORA-RELER-NoRescale-s42,BrightRetrieval,theoremqa_questions,22.45
Q4B-LORA-LambdaLoss-s42,BrightRetrieval,biology,32.82
Q4B-LORA-LambdaLoss-s42,BrightRetrieval,earth_science,35.81
Q4B-LORA-LambdaLoss-s42,BrightRetrieval,economics,27.62
Q4B-LORA-LambdaLoss-s42,BrightRetrieval,psychology,36.55
Q4B-LORA-LambdaLoss-s42,BrightRetrieval,robotics,19.73
Q4B-LORA-LambdaLoss-s42,BrightRetrieval,stackoverflow,27.46
Q4B-LORA-LambdaLoss-s42,BrightRetrieval,sustainable_living,31.33
Q4B-LORA-LambdaLoss-s42,BrightRetrieval,pony,4.16
Q4B-LORA-LambdaLoss-s42,BrightRetrieval,leetcode,19.04
Q4B-LORA-LambdaLoss-s42,BrightRetrieval,aops,4.11
Q4B-LORA-LambdaLoss-s42,BrightRetrieval,theoremqa_theorems,43.32
Q4B-LORA-LambdaLoss-s42,BrightRetrieval,theoremqa_questions,23.29
Q4B-LORA-LambdaLoss-Seed2026-s2026,BrightRetrieval,biology,32.0
Q4B-LORA-LambdaLoss-Seed2026-s2026,BrightRetrieval,earth_science,36.46
Q4B-LORA-LambdaLoss-Seed2026-s2026,BrightRetrieval,economics,28.03
Q4B-LORA-LambdaLoss-Seed2026-s2026,BrightRetrieval,psychology,35.34
Q4B-LORA-LambdaLoss-Seed2026-s2026,BrightRetrieval,robotics,18.8
Q4B-LORA-LambdaLoss-Seed2026-s2026,BrightRetrieval,stackoverflow,26.78
Q4B-LORA-LambdaLoss-Seed2026-s2026,BrightRetrieval,sustainable_living,29.99
Q4B-LORA-LambdaLoss-Seed2026-s2026,BrightRetrieval,pony,3.44
Q4B-LORA-LambdaLoss-Seed2026-s2026,BrightRetrieval,leetcode,18.69
Q4B-LORA-LambdaLoss-Seed2026-s2026,BrightRetrieval,aops,3.79
Q4B-LORA-LambdaLoss-Seed2026-s2026,BrightRetrieval,theoremqa_theorems,41.22
Q4B-LORA-LambdaLoss-Seed2026-s2026,BrightRetrieval,theoremqa_questions,23.66
Q4B-LORA-LambdaLoss-Seed3407-s3407,BrightRetrieval,biology,31.96
Q4B-LORA-LambdaLoss-Seed3407-s3407,BrightRetrieval,earth_science,34.22
Q4B-LORA-LambdaLoss-Seed3407-s3407,BrightRetrieval,economics,26.98
Q4B-LORA-LambdaLoss-Seed3407-s3407,BrightRetrieval,psychology,36.09
Q4B-LORA-LambdaLoss-Seed3407-s3407,BrightRetrieval,robotics,21.04
Q4B-LORA-LambdaLoss-Seed3407-s3407,BrightRetrieval,stackoverflow,26.9
Q4B-LORA-LambdaLoss-Seed3407-s3407,BrightRetrieval,sustainable_living,31.1
Q4B-LORA-LambdaLoss-Seed3407-s3407,BrightRetrieval,pony,3.35
Q4B-LORA-LambdaLoss-Seed3407-s3407,BrightRetrieval,leetcode,17.79
Q4B-LORA-LambdaLoss-Seed3407-s3407,BrightRetrieval,aops,3.46
Q4B-LORA-LambdaLoss-Seed3407-s3407,BrightRetrieval,theoremqa_theorems,41.34
Q4B-LORA-LambdaLoss-Seed3407-s3407,BrightRetrieval,theoremqa_questions,22.86
Q4B-LORA-RELER-NoPairwise-RLOO-s42,BrightRetrieval,biology,33.33
Q4B-LORA-RELER-NoPairwise-RLOO-s42,BrightRetrieval,earth_science,39.54
Q4B-LORA-RELER-NoPairwise-RLOO-s42,BrightRetrieval,economics,23.61
Q4B-LORA-RELER-NoPairwise-RLOO-s42,BrightRetrieval,psychology,36.49
Q4B-LORA-RELER-NoPairwise-RLOO-s42,BrightRetrieval,robotics,16.9
Q4B-LORA-RELER-NoPairwise-RLOO-s42,BrightRetrieval,stackoverflow,24.16
Q4B-LORA-RELER-NoPairwise-RLOO-s42,BrightRetrieval,sustainable_living,26.92
Q4B-LORA-RELER-NoPairwise-RLOO-s42,BrightRetrieval,pony,4.29
Q4B-LORA-RELER-NoPairwise-RLOO-s42,BrightRetrieval,leetcode,17.68
Q4B-LORA-RELER-NoPairwise-RLOO-s42,BrightRetrieval,aops,3.78
Q4B-LORA-RELER-NoPairwise-RLOO-s42,BrightRetrieval,theoremqa_theorems,43.69
Q4B-LORA-RELER-NoPairwise-RLOO-s42,BrightRetrieval,theoremqa_questions,22.62
Q4B-LORA-RELER-NoPairwise-RLOO-Seed3407-s3407,BrightRetrieval,biology,30.06
Q4B-LORA-RELER-NoPairwise-RLOO-Seed3407-s3407,BrightRetrieval,earth_science,37.73
Q4B-LORA-RELER-NoPairwise-RLOO-Seed3407-s3407,BrightRetrieval,economics,25.96
Q4B-LORA-RELER-NoPairwise-RLOO-Seed3407-s3407,BrightRetrieval,psychology,34.6
Q4B-LORA-RELER-NoPairwise-RLOO-Seed3407-s3407,BrightRetrieval,robotics,17.79
Q4B-LORA-RELER-NoPairwise-RLOO-Seed3407-s3407,BrightRetrieval,stackoverflow,24.86
Q4B-LORA-RELER-NoPairwise-RLOO-Seed3407-s3407,BrightRetrieval,sustainable_living,27.15
Q4B-LORA-RELER-NoPairwise-RLOO-Seed3407-s3407,BrightRetrieval,pony,2.92
Q4B-LORA-RELER-NoPairwise-RLOO-Seed3407-s3407,BrightRetrieval,leetcode,19.24
Q4B-LORA-RELER-NoPairwise-RLOO-Seed3407-s3407,BrightRetrieval,aops,3.25
Q4B-LORA-RELER-NoPairwise-RLOO-Seed3407-s3407,BrightRetrieval,theoremqa_theorems,43.1
Q4B-LORA-RELER-NoPairwise-RLOO-Seed3407-s3407,BrightRetrieval,theoremqa_questions,22.02
Q4B-LORA-RELER-NoPairwise-RLOO-Seed2026-s2026,BrightRetrieval,biology,31.26
Q4B-LORA-RELER-NoPairwise-RLOO-Seed2026-s2026,BrightRetrieval,earth_science,38.93
Q4B-LORA-RELER-NoPairwise-RLOO-Seed2026-s2026,BrightRetrieval,economics,25.3
Q4B-LORA-RELER-NoPairwise-RLOO-Seed2026-s2026,BrightRetrieval,psychology,33.77
Q4B-LORA-RELER-NoPairwise-RLOO-Seed2026-s2026,BrightRetrieval,robotics,16.4
Q4B-LORA-RELER-NoPairwise-RLOO-Seed2026-s2026,BrightRetrieval,stackoverflow,25.66
Q4B-LORA-RELER-NoPairwise-RLOO-Seed2026-s2026,BrightRetrieval,sustainable_living,26.93
Q4B-LORA-RELER-NoPairwise-RLOO-Seed2026-s2026,BrightRetrieval,pony,2.88
Q4B-LORA-RELER-NoPairwise-RLOO-Seed2026-s2026,BrightRetrieval,leetcode,15.92
Q4B-LORA-RELER-NoPairwise-RLOO-Seed2026-s2026,BrightRetrieval,aops,4.2
Q4B-LORA-RELER-NoPairwise-RLOO-Seed2026-s2026,BrightRetrieval,theoremqa_theorems,44.12
Q4B-LORA-RELER-NoPairwise-RLOO-Seed2026-s2026,BrightRetrieval,theoremqa_questions,22.04
Q4B-LORA-E0-s42,BrightRetrieval,biology,17.15
Q4B-LORA-E0-s42,BrightRetrieval,earth_science,34.65
Q4B-LORA-E0-s42,BrightRetrieval,economics,16.41
Q4B-LORA-E0-s42,BrightRetrieval,psychology,22.97
Q4B-LORA-E0-s42,BrightRetrieval,robotics,12.95
Q4B-LORA-E0-s42,BrightRetrieval,stackoverflow,15.88
Q4B-LORA-E0-s42,BrightRetrieval,sustainable_living,17.05
Q4B-LORA-E0-s42,BrightRetrieval,pony,1.98
Q4B-LORA-E0-s42,BrightRetrieval,leetcode,21.19
Q4B-LORA-E0-s42,BrightRetrieval,aops,3.72
Q4B-LORA-E0-s42,BrightRetrieval,theoremqa_theorems,40.92
Q4B-LORA-E0-s42,BrightRetrieval,theoremqa_questions,19.56
