run,task,type,score
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,Touche2020Retrieval.v3,Retrieval,55.49
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,CQADupstackGamingRetrieval,Retrieval,54.33
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,ArguAna,Retrieval,47.55
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,TwentyNewsgroupsClustering.v2,Clustering,46.47
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,StackExchangeClusteringP2P.v2,Clustering,40.86
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,BiorxivClusteringP2P.v2,Clustering,39.4
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,CQADupstackUnixRetrieval,Retrieval,36.95
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,MedrxivClusteringP2P.v2,Clustering,35.53
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,FiQA2018,Retrieval,35.01
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,MedrxivClusteringS2S.v2,Clustering,33.93
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,ClimateFEVERHardNegatives,Retrieval,29.8
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,MindSmallReranking,Reranking,29.78
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,SummEvalSummarization.v2,Summarization,27.78
G2-R2-D-RL-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,SCIDOCS,Retrieval,18.15
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,SprintDuplicateQuestions,PairClassification,96.02
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,MTOPDomainClassification,Classification,93.36
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,STS17,STS,86.1
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,TwitterURLCorpus,PairClassification,84.3
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,TRECCOVID,Retrieval,82.79
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,STS13,STS,82.52
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,BIOSSES,STS,82.41
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,STS15,STS,81.75
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,Banking77Classification,Classification,80.99
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,STSBenchmark,STS,79.77
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,FEVERHardNegatives,Retrieval,76.06
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,ImdbClassification,Classification,75.44
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,MassiveScenarioClassification,Classification,74.4
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,STS14,STS,74.26
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,SICK-R,STS,71.65
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,MassiveIntentClassification,Classification,69.93
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,AmazonCounterfactualClassification,Classification,67.34
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,STS22.v2,STS,66.99
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,STS12,STS,65.81
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,HotpotQAHardNegatives,Retrieval,64.01
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,ToxicConversationsClassification,Classification,63.54
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,TweetSentimentExtractionClassification,Classification,62.26
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,AskUbuntuDupQuestions,Reranking,60.29
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,TwitterSemEval2015,PairClassification,58.95
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,ArXivHierarchicalClusteringP2P,Clustering,58.51
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,StackExchangeClustering.v2,Clustering,57.09
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,ArXivHierarchicalClusteringS2S,Clustering,56.55
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,Touche2020Retrieval.v3,Retrieval,54.77
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,CQADupstackGamingRetrieval,Retrieval,53.36
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,ArguAna,Retrieval,48.02
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,TwentyNewsgroupsClustering.v2,Clustering,44.4
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,StackExchangeClusteringP2P.v2,Clustering,41.18
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,BiorxivClusteringP2P.v2,Clustering,38.78
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,CQADupstackUnixRetrieval,Retrieval,37.07
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,MedrxivClusteringP2P.v2,Clustering,36.21
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,FiQA2018,Retrieval,35.74
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,MedrxivClusteringS2S.v2,Clustering,33.74
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,ClimateFEVERHardNegatives,Retrieval,30.48
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,MindSmallReranking,Reranking,29.98
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,SummEvalSummarization.v2,Summarization,26.61
G2-R2-D-RL-Align070-ShortlistUniform-K0-T1-Pairwise050-s42,SCIDOCS,Retrieval,18.12
G2-R2-D-RL-s42,SprintDuplicateQuestions,PairClassification,96.01
G2-R2-D-RL-s42,MTOPDomainClassification,Classification,93.3
G2-R2-D-RL-s42,STS17,STS,85.94
G2-R2-D-RL-s42,TwitterURLCorpus,PairClassification,84.16
G2-R2-D-RL-s42,BIOSSES,STS,83.87
G2-R2-D-RL-s42,STS13,STS,82.94
G2-R2-D-RL-s42,STS15,STS,82.0
G2-R2-D-RL-s42,TRECCOVID,Retrieval,81.55
G2-R2-D-RL-s42,Banking77Classification,Classification,79.88
G2-R2-D-RL-s42,STSBenchmark,STS,79.51
G2-R2-D-RL-s42,ImdbClassification,Classification,77.18
G2-R2-D-RL-s42,STS14,STS,75.14
G2-R2-D-RL-s42,MassiveScenarioClassification,Classification,73.39
G2-R2-D-RL-s42,SICK-R,STS,72.73
G2-R2-D-RL-s42,FEVERHardNegatives,Retrieval,70.01
G2-R2-D-RL-s42,MassiveIntentClassification,Classification,69.54
G2-R2-D-RL-s42,AmazonCounterfactualClassification,Classification,67.24
G2-R2-D-RL-s42,STS22.v2,STS,65.45
G2-R2-D-RL-s42,STS12,STS,65.19
G2-R2-D-RL-s42,ToxicConversationsClassification,Classification,63.7
G2-R2-D-RL-s42,HotpotQAHardNegatives,Retrieval,62.92
G2-R2-D-RL-s42,TweetSentimentExtractionClassification,Classification,62.48
G2-R2-D-RL-s42,TwitterSemEval2015,PairClassification,60.64
G2-R2-D-RL-s42,AskUbuntuDupQuestions,Reranking,59.55
G2-R2-D-RL-s42,ArXivHierarchicalClusteringP2P,Clustering,58.54
G2-R2-D-RL-s42,ArXivHierarchicalClusteringS2S,Clustering,57.47
G2-R2-D-RL-s42,StackExchangeClustering.v2,Clustering,57.43
G2-R2-D-RL-s42,CQADupstackGamingRetrieval,Retrieval,55.24
G2-R2-D-RL-s42,Touche2020Retrieval.v3,Retrieval,54.96
G2-R2-D-RL-s42,ArguAna,Retrieval,48.26
G2-R2-D-RL-s42,TwentyNewsgroupsClustering.v2,Clustering,46.05
G2-R2-D-RL-s42,StackExchangeClusteringP2P.v2,Clustering,41.27
G2-R2-D-RL-s42,BiorxivClusteringP2P.v2,Clustering,40.78
G2-R2-D-RL-s42,CQADupstackUnixRetrieval,Retrieval,37.4
G2-R2-D-RL-s42,MedrxivClusteringP2P.v2,Clustering,36.09
G2-R2-D-RL-s42,FiQA2018,Retrieval,34.89
G2-R2-D-RL-s42,MedrxivClusteringS2S.v2,Clustering,34.08
G2-R2-D-RL-s42,MindSmallReranking,Reranking,29.75
G2-R2-D-RL-s42,ClimateFEVERHardNegatives,Retrieval,28.45
G2-R2-D-RL-s42,SummEvalSummarization.v2,Summarization,27.26
G2-R2-D-RL-s42,SCIDOCS,Retrieval,18.9
G2-R2-D-CL-Strong-s42,SprintDuplicateQuestions,PairClassification,95.64
G2-R2-D-CL-Strong-s42,MTOPDomainClassification,Classification,93.41
G2-R2-D-CL-Strong-s42,TwitterURLCorpus,PairClassification,85.56
G2-R2-D-CL-Strong-s42,STS17,STS,85.5
G2-R2-D-CL-Strong-s42,BIOSSES,STS,83.56
G2-R2-D-CL-Strong-s42,STS15,STS,83.07
G2-R2-D-CL-Strong-s42,TRECCOVID,Retrieval,81.93
G2-R2-D-CL-Strong-s42,Banking77Classification,Classification,79.55
G2-R2-D-CL-Strong-s42,STSBenchmark,STS,79.38
G2-R2-D-CL-Strong-s42,FEVERHardNegatives,Retrieval,78.73
G2-R2-D-CL-Strong-s42,STS13,STS,78.69
G2-R2-D-CL-Strong-s42,MassiveScenarioClassification,Classification,74.72
G2-R2-D-CL-Strong-s42,STS14,STS,73.64
G2-R2-D-CL-Strong-s42,AmazonCounterfactualClassification,Classification,71.19
G2-R2-D-CL-Strong-s42,MassiveIntentClassification,Classification,70.24
G2-R2-D-CL-Strong-s42,SICK-R,STS,69.22
G2-R2-D-CL-Strong-s42,ImdbClassification,Classification,68.73
G2-R2-D-CL-Strong-s42,STS12,STS,65.94
G2-R2-D-CL-Strong-s42,TwitterSemEval2015,PairClassification,65.14
G2-R2-D-CL-Strong-s42,STS22.v2,STS,64.51
G2-R2-D-CL-Strong-s42,HotpotQAHardNegatives,Retrieval,63.5
G2-R2-D-CL-Strong-s42,ToxicConversationsClassification,Classification,62.8
G2-R2-D-CL-Strong-s42,TweetSentimentExtractionClassification,Classification,62.09
G2-R2-D-CL-Strong-s42,AskUbuntuDupQuestions,Reranking,59.22
G2-R2-D-CL-Strong-s42,Touche2020Retrieval.v3,Retrieval,57.39
G2-R2-D-CL-Strong-s42,ArXivHierarchicalClusteringS2S,Clustering,56.04
G2-R2-D-CL-Strong-s42,CQADupstackGamingRetrieval,Retrieval,55.83
G2-R2-D-CL-Strong-s42,ArXivHierarchicalClusteringP2P,Clustering,55.79
G2-R2-D-CL-Strong-s42,StackExchangeClustering.v2,Clustering,54.61
G2-R2-D-CL-Strong-s42,ArguAna,Retrieval,52.71
G2-R2-D-CL-Strong-s42,TwentyNewsgroupsClustering.v2,Clustering,42.87
G2-R2-D-CL-Strong-s42,StackExchangeClusteringP2P.v2,Clustering,39.95
G2-R2-D-CL-Strong-s42,FiQA2018,Retrieval,38.31
G2-R2-D-CL-Strong-s42,CQADupstackUnixRetrieval,Retrieval,38.31
G2-R2-D-CL-Strong-s42,BiorxivClusteringP2P.v2,Clustering,38.1
G2-R2-D-CL-Strong-s42,MedrxivClusteringP2P.v2,Clustering,34.48
G2-R2-D-CL-Strong-s42,MedrxivClusteringS2S.v2,Clustering,31.66
G2-R2-D-CL-Strong-s42,ClimateFEVERHardNegatives,Retrieval,31.07
G2-R2-D-CL-Strong-s42,MindSmallReranking,Reranking,30.38
G2-R2-D-CL-Strong-s42,SummEvalSummarization.v2,Summarization,29.49
G2-R2-D-CL-Strong-s42,SCIDOCS,Retrieval,17.44
G2-R2-D-CL-s42,SprintDuplicateQuestions,PairClassification,95.38
G2-R2-D-CL-s42,MTOPDomainClassification,Classification,93.21
G2-R2-D-CL-s42,TwitterURLCorpus,PairClassification,85.72
G2-R2-D-CL-s42,STS17,STS,84.74
G2-R2-D-CL-s42,TRECCOVID,Retrieval,83.85
G2-R2-D-CL-s42,STS15,STS,82.51
G2-R2-D-CL-s42,BIOSSES,STS,81.76
G2-R2-D-CL-s42,FEVERHardNegatives,Retrieval,79.28
G2-R2-D-CL-s42,Banking77Classification,Classification,79.21
G2-R2-D-CL-s42,STSBenchmark,STS,78.5
G2-R2-D-CL-s42,STS13,STS,78.49
G2-R2-D-CL-s42,STS14,STS,74.23
G2-R2-D-CL-s42,MassiveScenarioClassification,Classification,72.97
G2-R2-D-CL-s42,AmazonCounterfactualClassification,Classification,71.39
G2-R2-D-CL-s42,ImdbClassification,Classification,70.38
G2-R2-D-CL-s42,SICK-R,STS,69.26
G2-R2-D-CL-s42,MassiveIntentClassification,Classification,68.59
G2-R2-D-CL-s42,TwitterSemEval2015,PairClassification,65.05
G2-R2-D-CL-s42,STS22.v2,STS,64.1
G2-R2-D-CL-s42,STS12,STS,64.05
G2-R2-D-CL-s42,ToxicConversationsClassification,Classification,62.77
G2-R2-D-CL-s42,HotpotQAHardNegatives,Retrieval,62.7
G2-R2-D-CL-s42,TweetSentimentExtractionClassification,Classification,61.45
G2-R2-D-CL-s42,Touche2020Retrieval.v3,Retrieval,61.3
G2-R2-D-CL-s42,AskUbuntuDupQuestions,Reranking,58.44
G2-R2-D-CL-s42,ArXivHierarchicalClusteringP2P,Clustering,57.44
G2-R2-D-CL-s42,ArXivHierarchicalClusteringS2S,Clustering,55.81
G2-R2-D-CL-s42,CQADupstackGamingRetrieval,Retrieval,55.09
G2-R2-D-CL-s42,StackExchangeClustering.v2,Clustering,52.16
G2-R2-D-CL-s42,ArguAna,Retrieval,48.61
G2-R2-D-CL-s42,TwentyNewsgroupsClustering.v2,Clustering,39.96
G2-R2-D-CL-s42,StackExchangeClusteringP2P.v2,Clustering,39.77
G2-R2-D-CL-s42,CQADupstackUnixRetrieval,Retrieval,38.3
G2-R2-D-CL-s42,FiQA2018,Retrieval,37.6
G2-R2-D-CL-s42,BiorxivClusteringP2P.v2,Clustering,37.36
G2-R2-D-CL-s42,MedrxivClusteringP2P.v2,Clustering,34.6
G2-R2-D-CL-s42,MedrxivClusteringS2S.v2,Clustering,31.59
G2-R2-D-CL-s42,ClimateFEVERHardNegatives,Retrieval,30.95
G2-R2-D-CL-s42,MindSmallReranking,Reranking,30.78
G2-R2-D-CL-s42,SummEvalSummarization.v2,Summarization,29.77
G2-R2-D-CL-s42,SCIDOCS,Retrieval,17.07
