run,method,seed,query_set,task,subset,ndcg_at_10
G1-R2-CL-Strong-Seed3407-s3407,G1-R2-CL-Strong,3407,gpt_reasoning,BrightRetrieval,sustainable_living,0.4987
G1-R2-CL-Strong-Seed3407-s3407,G1-R2-CL-Strong,3407,gpt_reasoning,BrightRetrieval,pony,0.0108
G1-R2-CL-Strong-Seed3407-s3407,G1-R2-CL-Strong,3407,gpt_reasoning,BrightRetrieval,leetcode,0.1011
G1-R2-CL-Strong-Seed3407-s3407,G1-R2-CL-Strong,3407,gpt_reasoning,BrightRetrieval,aops,0.0881
G1-R2-CL-Strong-Seed3407-s3407,G1-R2-CL-Strong,3407,gpt_reasoning,BrightRetrieval,theoremqa_theorems,0.6798
G1-R2-CL-Strong-Seed3407-s3407,G1-R2-CL-Strong,3407,gpt_reasoning,BrightRetrieval,theoremqa_questions,0.2794
G1-R2-CL-Strong-s42,G1-R2-CL-Strong,42,original,BrightRetrieval,biology,0.3368
G1-R2-CL-Strong-s42,G1-R2-CL-Strong,42,original,BrightRetrieval,earth_science,0.3382
G1-R2-CL-Strong-s42,G1-R2-CL-Strong,42,original,BrightRetrieval,economics,0.2610
G1-R2-CL-Strong-s42,G1-R2-CL-Strong,42,original,BrightRetrieval,psychology,0.3334
G1-R2-CL-Strong-s42,G1-R2-CL-Strong,42,original,BrightRetrieval,robotics,0.2113
G1-R2-CL-Strong-s42,G1-R2-CL-Strong,42,original,BrightRetrieval,stackoverflow,0.2907
G1-R2-CL-Strong-s42,G1-R2-CL-Strong,42,original,BrightRetrieval,sustainable_living,0.2714
G1-R2-CL-Strong-s42,G1-R2-CL-Strong,42,original,BrightRetrieval,pony,0.0122
G1-R2-CL-Strong-s42,G1-R2-CL-Strong,42,original,BrightRetrieval,leetcode,0.1019
G1-R2-CL-Strong-s42,G1-R2-CL-Strong,42,original,BrightRetrieval,aops,0.0296
G1-R2-CL-Strong-s42,G1-R2-CL-Strong,42,original,BrightRetrieval,theoremqa_theorems,0.3183
G1-R2-CL-Strong-s42,G1-R2-CL-Strong,42,original,BrightRetrieval,theoremqa_questions,0.1947
G1-R2-CL-Strong-s42,G1-R2-CL-Strong,42,gpt_reasoning,BrightRetrieval,biology,0.5934
G1-R2-CL-Strong-s42,G1-R2-CL-Strong,42,gpt_reasoning,BrightRetrieval,earth_science,0.4923
G1-R2-CL-Strong-s42,G1-R2-CL-Strong,42,gpt_reasoning,BrightRetrieval,economics,0.4879
G1-R2-CL-Strong-s42,G1-R2-CL-Strong,42,gpt_reasoning,BrightRetrieval,psychology,0.5738
G1-R2-CL-Strong-s42,G1-R2-CL-Strong,42,gpt_reasoning,BrightRetrieval,robotics,0.3643
G1-R2-CL-Strong-s42,G1-R2-CL-Strong,42,gpt_reasoning,BrightRetrieval,stackoverflow,0.3379
G1-R2-CL-Strong-s42,G1-R2-CL-Strong,42,gpt_reasoning,BrightRetrieval,sustainable_living,0.4921
G1-R2-CL-Strong-s42,G1-R2-CL-Strong,42,gpt_reasoning,BrightRetrieval,pony,0.0122
G1-R2-CL-Strong-s42,G1-R2-CL-Strong,42,gpt_reasoning,BrightRetrieval,leetcode,0.1019
G1-R2-CL-Strong-s42,G1-R2-CL-Strong,42,gpt_reasoning,BrightRetrieval,aops,0.0869
G1-R2-CL-Strong-s42,G1-R2-CL-Strong,42,gpt_reasoning,BrightRetrieval,theoremqa_theorems,0.6632
G1-R2-CL-Strong-s42,G1-R2-CL-Strong,42,gpt_reasoning,BrightRetrieval,theoremqa_questions,0.2795
G1-R2-E0-s42,G1-R2-E0,42,original,BrightRetrieval,biology,0.1341
G1-R2-E0-s42,G1-R2-E0,42,original,BrightRetrieval,earth_science,0.2781
G1-R2-E0-s42,G1-R2-E0,42,original,BrightRetrieval,economics,0.1797
G1-R2-E0-s42,G1-R2-E0,42,original,BrightRetrieval,psychology,0.1660
G1-R2-E0-s42,G1-R2-E0,42,original,BrightRetrieval,robotics,0.1196
G1-R2-E0-s42,G1-R2-E0,42,original,BrightRetrieval,stackoverflow,0.1282
G1-R2-E0-s42,G1-R2-E0,42,original,BrightRetrieval,sustainable_living,0.1317
G1-R2-E0-s42,G1-R2-E0,42,original,BrightRetrieval,pony,0.0069
G1-R2-E0-s42,G1-R2-E0,42,original,BrightRetrieval,leetcode,0.1425
G1-R2-E0-s42,G1-R2-E0,42,original,BrightRetrieval,aops,0.0328
G1-R2-E0-s42,G1-R2-E0,42,original,BrightRetrieval,theoremqa_theorems,0.3210
G1-R2-E0-s42,G1-R2-E0,42,original,BrightRetrieval,theoremqa_questions,0.1715
G1-R2-E0-s42,G1-R2-E0,42,gpt_reasoning,BrightRetrieval,biology,0.2654
G1-R2-E0-s42,G1-R2-E0,42,gpt_reasoning,BrightRetrieval,earth_science,0.4199
G1-R2-E0-s42,G1-R2-E0,42,gpt_reasoning,BrightRetrieval,economics,0.3371
G1-R2-E0-s42,G1-R2-E0,42,gpt_reasoning,BrightRetrieval,psychology,0.3866
G1-R2-E0-s42,G1-R2-E0,42,gpt_reasoning,BrightRetrieval,robotics,0.1950
G1-R2-E0-s42,G1-R2-E0,42,gpt_reasoning,BrightRetrieval,stackoverflow,0.1508
G1-R2-E0-s42,G1-R2-E0,42,gpt_reasoning,BrightRetrieval,sustainable_living,0.2857
G1-R2-E0-s42,G1-R2-E0,42,gpt_reasoning,BrightRetrieval,pony,0.0069
G1-R2-E0-s42,G1-R2-E0,42,gpt_reasoning,BrightRetrieval,leetcode,0.1425
G1-R2-E0-s42,G1-R2-E0,42,gpt_reasoning,BrightRetrieval,aops,0.0703
G1-R2-E0-s42,G1-R2-E0,42,gpt_reasoning,BrightRetrieval,theoremqa_theorems,0.7208
G1-R2-E0-s42,G1-R2-E0,42,gpt_reasoning,BrightRetrieval,theoremqa_questions,0.2589
G1-R2-LL-Graded-Seed2026-s2026,G1-R2-LL-Graded,2026,original,BrightRetrieval,biology,0.2487
G1-R2-LL-Graded-Seed2026-s2026,G1-R2-LL-Graded,2026,original,BrightRetrieval,earth_science,0.2636
G1-R2-LL-Graded-Seed2026-s2026,G1-R2-LL-Graded,2026,original,BrightRetrieval,economics,0.2460
G1-R2-LL-Graded-Seed2026-s2026,G1-R2-LL-Graded,2026,original,BrightRetrieval,psychology,0.2922
G1-R2-LL-Graded-Seed2026-s2026,G1-R2-LL-Graded,2026,original,BrightRetrieval,robotics,0.1763
G1-R2-LL-Graded-Seed2026-s2026,G1-R2-LL-Graded,2026,original,BrightRetrieval,stackoverflow,0.2313
G1-R2-LL-Graded-Seed2026-s2026,G1-R2-LL-Graded,2026,original,BrightRetrieval,sustainable_living,0.2234
G1-R2-LL-Graded-Seed2026-s2026,G1-R2-LL-Graded,2026,original,BrightRetrieval,pony,0.0146
G1-R2-LL-Graded-Seed2026-s2026,G1-R2-LL-Graded,2026,original,BrightRetrieval,leetcode,0.1209
G1-R2-LL-Graded-Seed2026-s2026,G1-R2-LL-Graded,2026,original,BrightRetrieval,aops,0.0336
G1-R2-LL-Graded-Seed2026-s2026,G1-R2-LL-Graded,2026,original,BrightRetrieval,theoremqa_theorems,0.2974
G1-R2-LL-Graded-Seed2026-s2026,G1-R2-LL-Graded,2026,original,BrightRetrieval,theoremqa_questions,0.2117
G1-R2-LL-Graded-Seed2026-s2026,G1-R2-LL-Graded,2026,gpt_reasoning,BrightRetrieval,biology,0.4161
G1-R2-LL-Graded-Seed2026-s2026,G1-R2-LL-Graded,2026,gpt_reasoning,BrightRetrieval,earth_science,0.4034
G1-R2-LL-Graded-Seed2026-s2026,G1-R2-LL-Graded,2026,gpt_reasoning,BrightRetrieval,economics,0.3965
G1-R2-LL-Graded-Seed2026-s2026,G1-R2-LL-Graded,2026,gpt_reasoning,BrightRetrieval,psychology,0.4957
G1-R2-LL-Graded-Seed2026-s2026,G1-R2-LL-Graded,2026,gpt_reasoning,BrightRetrieval,robotics,0.2841
G1-R2-LL-Graded-Seed2026-s2026,G1-R2-LL-Graded,2026,gpt_reasoning,BrightRetrieval,stackoverflow,0.2673
G1-R2-LL-Graded-Seed2026-s2026,G1-R2-LL-Graded,2026,gpt_reasoning,BrightRetrieval,sustainable_living,0.4342
G1-R2-LL-Graded-Seed2026-s2026,G1-R2-LL-Graded,2026,gpt_reasoning,BrightRetrieval,pony,0.0146
G1-R2-LL-Graded-Seed2026-s2026,G1-R2-LL-Graded,2026,gpt_reasoning,BrightRetrieval,leetcode,0.1209
G1-R2-LL-Graded-Seed2026-s2026,G1-R2-LL-Graded,2026,gpt_reasoning,BrightRetrieval,aops,0.0647
G1-R2-LL-Graded-Seed2026-s2026,G1-R2-LL-Graded,2026,gpt_reasoning,BrightRetrieval,theoremqa_theorems,0.6327
G1-R2-LL-Graded-Seed2026-s2026,G1-R2-LL-Graded,2026,gpt_reasoning,BrightRetrieval,theoremqa_questions,0.2707
G1-R2-LL-Graded-Seed3407-s3407,G1-R2-LL-Graded,3407,original,BrightRetrieval,biology,0.2418
G1-R2-LL-Graded-Seed3407-s3407,G1-R2-LL-Graded,3407,original,BrightRetrieval,earth_science,0.2498
G1-R2-LL-Graded-Seed3407-s3407,G1-R2-LL-Graded,3407,original,BrightRetrieval,economics,0.2338
G1-R2-LL-Graded-Seed3407-s3407,G1-R2-LL-Graded,3407,original,BrightRetrieval,psychology,0.2890
G1-R2-LL-Graded-Seed3407-s3407,G1-R2-LL-Graded,3407,original,BrightRetrieval,robotics,0.1757
G1-R2-LL-Graded-Seed3407-s3407,G1-R2-LL-Graded,3407,original,BrightRetrieval,stackoverflow,0.2280
G1-R2-LL-Graded-Seed3407-s3407,G1-R2-LL-Graded,3407,original,BrightRetrieval,sustainable_living,0.2175
G1-R2-LL-Graded-Seed3407-s3407,G1-R2-LL-Graded,3407,original,BrightRetrieval,pony,0.0140
G1-R2-LL-Graded-Seed3407-s3407,G1-R2-LL-Graded,3407,original,BrightRetrieval,leetcode,0.1314
G1-R2-LL-Graded-Seed3407-s3407,G1-R2-LL-Graded,3407,original,BrightRetrieval,aops,0.0316
G1-R2-LL-Graded-Seed3407-s3407,G1-R2-LL-Graded,3407,original,BrightRetrieval,theoremqa_theorems,0.2925
G1-R2-LL-Graded-Seed3407-s3407,G1-R2-LL-Graded,3407,original,BrightRetrieval,theoremqa_questions,0.2107
G1-R2-LL-Graded-Seed3407-s3407,G1-R2-LL-Graded,3407,gpt_reasoning,BrightRetrieval,biology,0.4297
G1-R2-LL-Graded-Seed3407-s3407,G1-R2-LL-Graded,3407,gpt_reasoning,BrightRetrieval,earth_science,0.3926
G1-R2-LL-Graded-Seed3407-s3407,G1-R2-LL-Graded,3407,gpt_reasoning,BrightRetrieval,economics,0.4084
G1-R2-LL-Graded-Seed3407-s3407,G1-R2-LL-Graded,3407,gpt_reasoning,BrightRetrieval,psychology,0.4982
G1-R2-LL-Graded-Seed3407-s3407,G1-R2-LL-Graded,3407,gpt_reasoning,BrightRetrieval,robotics,0.2834
G1-R2-LL-Graded-Seed3407-s3407,G1-R2-LL-Graded,3407,gpt_reasoning,BrightRetrieval,stackoverflow,0.2716
G1-R2-LL-Graded-Seed3407-s3407,G1-R2-LL-Graded,3407,gpt_reasoning,BrightRetrieval,sustainable_living,0.4366
G1-R2-LL-Graded-Seed3407-s3407,G1-R2-LL-Graded,3407,gpt_reasoning,BrightRetrieval,pony,0.0140
G1-R2-LL-Graded-Seed3407-s3407,G1-R2-LL-Graded,3407,gpt_reasoning,BrightRetrieval,leetcode,0.1314
G1-R2-LL-Graded-Seed3407-s3407,G1-R2-LL-Graded,3407,gpt_reasoning,BrightRetrieval,aops,0.0727
G1-R2-LL-Graded-Seed3407-s3407,G1-R2-LL-Graded,3407,gpt_reasoning,BrightRetrieval,theoremqa_theorems,0.6237
G1-R2-LL-Graded-Seed3407-s3407,G1-R2-LL-Graded,3407,gpt_reasoning,BrightRetrieval,theoremqa_questions,0.2780
G1-R2-LL-Graded-s42,G1-R2-LL-Graded,42,original,BrightRetrieval,biology,0.2398
G1-R2-LL-Graded-s42,G1-R2-LL-Graded,42,original,BrightRetrieval,earth_science,0.2511
G1-R2-LL-Graded-s42,G1-R2-LL-Graded,42,original,BrightRetrieval,economics,0.2386
G1-R2-LL-Graded-s42,G1-R2-LL-Graded,42,original,BrightRetrieval,psychology,0.2881
G1-R2-LL-Graded-s42,G1-R2-LL-Graded,42,original,BrightRetrieval,robotics,0.1750
G1-R2-LL-Graded-s42,G1-R2-LL-Graded,42,original,BrightRetrieval,stackoverflow,0.2265
G1-R2-LL-Graded-s42,G1-R2-LL-Graded,42,original,BrightRetrieval,sustainable_living,0.2168
G1-R2-LL-Graded-s42,G1-R2-LL-Graded,42,original,BrightRetrieval,pony,0.0135
G1-R2-LL-Graded-s42,G1-R2-LL-Graded,42,original,BrightRetrieval,leetcode,0.1206
G1-R2-LL-Graded-s42,G1-R2-LL-Graded,42,original,BrightRetrieval,aops,0.0351
G1-R2-LL-Graded-s42,G1-R2-LL-Graded,42,original,BrightRetrieval,theoremqa_theorems,0.2813
G1-R2-LL-Graded-s42,G1-R2-LL-Graded,42,original,BrightRetrieval,theoremqa_questions,0.2088
G1-R2-LL-Graded-s42,G1-R2-LL-Graded,42,gpt_reasoning,BrightRetrieval,biology,0.4138
G1-R2-LL-Graded-s42,G1-R2-LL-Graded,42,gpt_reasoning,BrightRetrieval,earth_science,0.3866
G1-R2-LL-Graded-s42,G1-R2-LL-Graded,42,gpt_reasoning,BrightRetrieval,economics,0.3966
G1-R2-LL-Graded-s42,G1-R2-LL-Graded,42,gpt_reasoning,BrightRetrieval,psychology,0.4918
G1-R2-LL-Graded-s42,G1-R2-LL-Graded,42,gpt_reasoning,BrightRetrieval,robotics,0.2737
G1-R2-LL-Graded-s42,G1-R2-LL-Graded,42,gpt_reasoning,BrightRetrieval,stackoverflow,0.2660
G1-R2-LL-Graded-s42,G1-R2-LL-Graded,42,gpt_reasoning,BrightRetrieval,sustainable_living,0.4269
G1-R2-LL-Graded-s42,G1-R2-LL-Graded,42,gpt_reasoning,BrightRetrieval,pony,0.0135
G1-R2-LL-Graded-s42,G1-R2-LL-Graded,42,gpt_reasoning,BrightRetrieval,leetcode,0.1206
G1-R2-LL-Graded-s42,G1-R2-LL-Graded,42,gpt_reasoning,BrightRetrieval,aops,0.0711
G1-R2-LL-Graded-s42,G1-R2-LL-Graded,42,gpt_reasoning,BrightRetrieval,theoremqa_theorems,0.6059
G1-R2-LL-Graded-s42,G1-R2-LL-Graded,42,gpt_reasoning,BrightRetrieval,theoremqa_questions,0.2721
G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050-Seed2026-s2026,G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050,2026,original,BrightRetrieval,biology,0.4647
G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050-Seed2026-s2026,G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050,2026,original,BrightRetrieval,earth_science,0.3860
G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050-Seed2026-s2026,G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050,2026,original,BrightRetrieval,economics,0.2942
G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050-Seed2026-s2026,G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050,2026,original,BrightRetrieval,psychology,0.3384
G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050-Seed2026-s2026,G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050,2026,original,BrightRetrieval,robotics,0.1808
G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050-Seed2026-s2026,G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050,2026,original,BrightRetrieval,stackoverflow,0.2834
G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050-Seed2026-s2026,G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050,2026,original,BrightRetrieval,sustainable_living,0.2447
G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050-Seed2026-s2026,G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050,2026,original,BrightRetrieval,pony,0.0197
G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050-Seed2026-s2026,G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050,2026,original,BrightRetrieval,leetcode,0.0837
G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050-Seed2026-s2026,G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050,2026,original,BrightRetrieval,aops,0.0277
G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050-Seed2026-s2026,G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050,2026,original,BrightRetrieval,theoremqa_theorems,0.2864
G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050-Seed2026-s2026,G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050,2026,original,BrightRetrieval,theoremqa_questions,0.1913
G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050-Seed3407-s3407,G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050,3407,original,BrightRetrieval,biology,0.4680
G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050-Seed3407-s3407,G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050,3407,original,BrightRetrieval,earth_science,0.3934
G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050-Seed3407-s3407,G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050,3407,original,BrightRetrieval,economics,0.2861
G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050-Seed3407-s3407,G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050,3407,original,BrightRetrieval,psychology,0.3520
G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050-Seed3407-s3407,G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050,3407,original,BrightRetrieval,robotics,0.1849
G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050-Seed3407-s3407,G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050,3407,original,BrightRetrieval,stackoverflow,0.2977
G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050-Seed3407-s3407,G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050,3407,original,BrightRetrieval,sustainable_living,0.2515
G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050-Seed3407-s3407,G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050,3407,original,BrightRetrieval,pony,0.0218
G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050-Seed3407-s3407,G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050,3407,original,BrightRetrieval,leetcode,0.0851
G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050-Seed3407-s3407,G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050,3407,original,BrightRetrieval,aops,0.0258
G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050-Seed3407-s3407,G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050,3407,original,BrightRetrieval,theoremqa_theorems,0.2783
G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050-Seed3407-s3407,G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050,3407,original,BrightRetrieval,theoremqa_questions,0.1899
G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050-s42,G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050,42,original,BrightRetrieval,biology,0.4536
G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050-s42,G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050,42,original,BrightRetrieval,earth_science,0.3697
G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050-s42,G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050,42,original,BrightRetrieval,economics,0.2850
G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050-s42,G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050,42,original,BrightRetrieval,psychology,0.3379
G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050-s42,G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050,42,original,BrightRetrieval,robotics,0.1796
G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050-s42,G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050,42,original,BrightRetrieval,stackoverflow,0.3061
G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050-s42,G1-R2-RL-GradedNDCG64-CP-Align060-ShortlistUniform-K0-T1-Pairwise050,42,original,BrightRetrieval,sustainable_living,0.2507
