backbone,method,seed,run,query_set,subset,ndcg_at_10,score,run_status,source
4b,e0,42,Q4B-LORA-E0,gpt4-reasoning,theoremqa_theorems,0.38917,38.917,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-E0-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/Qwen__Qwen3-Embedding-4B__tokens-v2__pool-fp32/5cf2132abc99cad020ac570b19d031efec650f2b/BrightRetrieval.json
4b,e0,42,Q4B-LORA-E0,gpt4-reasoning,theoremqa_questions,0.20489999999999997,20.49,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-E0-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/Qwen__Qwen3-Embedding-4B__tokens-v2__pool-fp32/5cf2132abc99cad020ac570b19d031efec650f2b/BrightRetrieval.json
4b,infonce,42,Q4B-LORA-InfoNCE,gpt4-reasoning,biology,0.50097,50.097,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-s42-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,infonce,42,Q4B-LORA-InfoNCE,gpt4-reasoning,earth_science,0.50082,50.08200000000001,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-s42-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,infonce,42,Q4B-LORA-InfoNCE,gpt4-reasoning,economics,0.31499,31.499,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-s42-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,infonce,42,Q4B-LORA-InfoNCE,gpt4-reasoning,psychology,0.42766,42.766,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-s42-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,infonce,42,Q4B-LORA-InfoNCE,gpt4-reasoning,robotics,0.25956,25.956000000000003,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-s42-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,infonce,42,Q4B-LORA-InfoNCE,gpt4-reasoning,stackoverflow,0.37915,37.915,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-s42-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,infonce,42,Q4B-LORA-InfoNCE,gpt4-reasoning,sustainable_living,0.34678,34.678,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-s42-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,infonce,42,Q4B-LORA-InfoNCE,gpt4-reasoning,pony,0.09432,9.432,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-s42-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,infonce,42,Q4B-LORA-InfoNCE,gpt4-reasoning,leetcode,0.14125,14.124999999999998,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-s42-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,infonce,42,Q4B-LORA-InfoNCE,gpt4-reasoning,aops,0.03192,3.1919999999999997,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-s42-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,infonce,42,Q4B-LORA-InfoNCE,gpt4-reasoning,theoremqa_theorems,0.41118000000000005,41.118,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-s42-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,infonce,42,Q4B-LORA-InfoNCE,gpt4-reasoning,theoremqa_questions,0.20578,20.578,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-s42-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,infonce,3407,Q4B-LORA-InfoNCE-Seed3407,gpt4-reasoning,biology,0.5173,51.73,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-Seed3407-s3407/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-Seed3407-s3407-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,infonce,3407,Q4B-LORA-InfoNCE-Seed3407,gpt4-reasoning,earth_science,0.49945,49.945,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-Seed3407-s3407/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-Seed3407-s3407-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,infonce,3407,Q4B-LORA-InfoNCE-Seed3407,gpt4-reasoning,economics,0.31469,31.469,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-Seed3407-s3407/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-Seed3407-s3407-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,infonce,3407,Q4B-LORA-InfoNCE-Seed3407,gpt4-reasoning,psychology,0.41884,41.884,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-Seed3407-s3407/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-Seed3407-s3407-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,infonce,3407,Q4B-LORA-InfoNCE-Seed3407,gpt4-reasoning,robotics,0.26311,26.311,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-Seed3407-s3407/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-Seed3407-s3407-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,infonce,3407,Q4B-LORA-InfoNCE-Seed3407,gpt4-reasoning,stackoverflow,0.39141999999999993,39.141999999999996,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-Seed3407-s3407/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-Seed3407-s3407-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,infonce,3407,Q4B-LORA-InfoNCE-Seed3407,gpt4-reasoning,sustainable_living,0.3592,35.92,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-Seed3407-s3407/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-Seed3407-s3407-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,infonce,3407,Q4B-LORA-InfoNCE-Seed3407,gpt4-reasoning,pony,0.10395,10.395,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-Seed3407-s3407/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-Seed3407-s3407-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,infonce,3407,Q4B-LORA-InfoNCE-Seed3407,gpt4-reasoning,leetcode,0.15176,15.176,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-Seed3407-s3407/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-Seed3407-s3407-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,infonce,3407,Q4B-LORA-InfoNCE-Seed3407,gpt4-reasoning,aops,0.03162,3.1620000000000004,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-Seed3407-s3407/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-Seed3407-s3407-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,infonce,3407,Q4B-LORA-InfoNCE-Seed3407,gpt4-reasoning,theoremqa_theorems,0.42038,42.038,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-Seed3407-s3407/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-Seed3407-s3407-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,infonce,3407,Q4B-LORA-InfoNCE-Seed3407,gpt4-reasoning,theoremqa_questions,0.21184,21.184,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-Seed3407-s3407/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-Seed3407-s3407-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,infonce,2026,Q4B-LORA-InfoNCE-Seed2026,gpt4-reasoning,biology,0.52138,52.138,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-Seed2026-s2026/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-Seed2026-s2026-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,infonce,2026,Q4B-LORA-InfoNCE-Seed2026,gpt4-reasoning,earth_science,0.4979199999999999,49.791999999999994,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-Seed2026-s2026/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-Seed2026-s2026-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,infonce,2026,Q4B-LORA-InfoNCE-Seed2026,gpt4-reasoning,economics,0.30744,30.744,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-Seed2026-s2026/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-Seed2026-s2026-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,infonce,2026,Q4B-LORA-InfoNCE-Seed2026,gpt4-reasoning,psychology,0.41826,41.826,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-Seed2026-s2026/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-Seed2026-s2026-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,infonce,2026,Q4B-LORA-InfoNCE-Seed2026,gpt4-reasoning,robotics,0.23964,23.964,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-Seed2026-s2026/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-Seed2026-s2026-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,infonce,2026,Q4B-LORA-InfoNCE-Seed2026,gpt4-reasoning,stackoverflow,0.3942,39.42,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-Seed2026-s2026/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-Seed2026-s2026-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,infonce,2026,Q4B-LORA-InfoNCE-Seed2026,gpt4-reasoning,sustainable_living,0.35908,35.908,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-Seed2026-s2026/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-Seed2026-s2026-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,infonce,2026,Q4B-LORA-InfoNCE-Seed2026,gpt4-reasoning,pony,0.09176999999999999,9.177,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-Seed2026-s2026/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-Seed2026-s2026-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,infonce,2026,Q4B-LORA-InfoNCE-Seed2026,gpt4-reasoning,leetcode,0.14889,14.889,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-Seed2026-s2026/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-Seed2026-s2026-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,infonce,2026,Q4B-LORA-InfoNCE-Seed2026,gpt4-reasoning,aops,0.029080000000000005,2.9080000000000004,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-Seed2026-s2026/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-Seed2026-s2026-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,infonce,2026,Q4B-LORA-InfoNCE-Seed2026,gpt4-reasoning,theoremqa_theorems,0.39262,39.262,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-Seed2026-s2026/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-Seed2026-s2026-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,infonce,2026,Q4B-LORA-InfoNCE-Seed2026,gpt4-reasoning,theoremqa_questions,0.20588,20.588,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-InfoNCE-Seed2026-s2026/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-InfoNCE-Seed2026-s2026-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,lambdaloss,42,Q4B-LORA-LambdaLoss,gpt4-reasoning,biology,0.3525400000000001,35.254000000000005,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-LambdaLoss-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-LambdaLoss-s42-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,lambdaloss,42,Q4B-LORA-LambdaLoss,gpt4-reasoning,earth_science,0.3934,39.34,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-LambdaLoss-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-LambdaLoss-s42-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,lambdaloss,42,Q4B-LORA-LambdaLoss,gpt4-reasoning,economics,0.25419,25.419000000000004,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-LambdaLoss-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-LambdaLoss-s42-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,lambdaloss,42,Q4B-LORA-LambdaLoss,gpt4-reasoning,psychology,0.35212,35.211999999999996,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-LambdaLoss-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-LambdaLoss-s42-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,lambdaloss,42,Q4B-LORA-LambdaLoss,gpt4-reasoning,robotics,0.23167,23.166999999999998,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-LambdaLoss-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-LambdaLoss-s42-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,lambdaloss,42,Q4B-LORA-LambdaLoss,gpt4-reasoning,stackoverflow,0.29613,29.613,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-LambdaLoss-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-LambdaLoss-s42-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,lambdaloss,42,Q4B-LORA-LambdaLoss,gpt4-reasoning,sustainable_living,0.29951,29.951,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-LambdaLoss-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-LambdaLoss-s42-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
4b,lambdaloss,42,Q4B-LORA-LambdaLoss,gpt4-reasoning,pony,0.08932000000000001,8.932,complete,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-qwen3-embedding-4b-lora/Q4B-LORA-LambdaLoss-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-qwen3-embedding-4b-lora__Q4B-LORA-LambdaLoss-s42-merged__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json
