backbone,method,seed,run,query_set,status,completed_subsets,missing_subsets,avg_ndcg_at_10,biology,earth_science,economics,psychology,robotics,stackoverflow,sustainable_living,pony,leetcode,aops,theoremqa_theorems,theoremqa_questions,source,result_root,error,failure
06b,e0,42,G1-R2-E0,gpt4-reasoning,complete,12,,20.378083333333333,27.622000000000003,36.325,24.146,28.198,13.491,17.325,19.782,3.245,18.590999999999998,2.077,36.796,16.939,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-final-k0/G1-R2-E0-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/Qwen__Qwen3-Embedding-0.6B__tokens-v2__pool-fp32/97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3/BrightRetrieval.json,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-final-k0/G1-R2-E0-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning,,
06b,infonce,42,G1-R2-CL-Strong,gpt4-reasoning,complete,12,,26.40375,38.976,46.02,29.959000000000003,39.959,21.131,34.263,28.992,7.767,9.345,3.183,38.208999999999996,19.041,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-final-k0/G1-R2-CL-Strong-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-final-k0__G1-R2-CL-Strong-s42__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-final-k0/G1-R2-CL-Strong-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning,,
06b,infonce,3407,G1-R2-CL-Strong-Seed3407,gpt4-reasoning,complete,12,,26.585166666666666,39.767,45.379999999999995,30.299,39.721000000000004,22.033,35.494,30.781,5.893000000000001,8.567,3.209,38.275,19.603,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-final-k0/G1-R2-CL-Strong-Seed3407-s3407/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-final-k0__G1-R2-CL-Strong-Seed3407-s3407__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-final-k0/G1-R2-CL-Strong-Seed3407-s3407/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning,,
06b,infonce,2026,G1-R2-CL-Strong-Seed2026,gpt4-reasoning,complete,12,,26.55575,41.656,48.278999999999996,28.799999999999997,39.847,21.098,34.888999999999996,29.456,6.6930000000000005,8.450000000000001,2.963,37.974000000000004,18.564,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-final-k0/G1-R2-CL-Strong-Seed2026-s2026/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-final-k0__G1-R2-CL-Strong-Seed2026-s2026__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-final-k0/G1-R2-CL-Strong-Seed2026-s2026/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning,,
06b,lambdaloss,42,G1-R2-LL-Graded,gpt4-reasoning,complete,12,,23.608333333333334,32.651,37.767,27.761000000000003,34.83,18.54,26.699,28.537000000000003,3.7830000000000004,12.790000000000001,3.2140000000000004,36.195,20.533,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-final-k0/G1-R2-LL-Graded-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-final-k0__G1-R2-LL-Graded-s42__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-final-k0/G1-R2-LL-Graded-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning,,
06b,lambdaloss,3407,G1-R2-LL-Graded-Seed3407,gpt4-reasoning,complete,12,,23.956666666666667,35.728,37.88,27.51,35.301,18.119,28.644,28.871999999999996,3.063,12.263,3.031,36.318,20.751,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-final-k0/G1-R2-LL-Graded-Seed3407-s3407/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-final-k0__G1-R2-LL-Graded-Seed3407-s3407__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-final-k0/G1-R2-LL-Graded-Seed3407-s3407/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning,,
06b,lambdaloss,2026,G1-R2-LL-Graded-Seed2026,gpt4-reasoning,complete,12,,24.335166666666666,36.18,38.438,28.902,36.376999999999995,18.328,27.683999999999997,28.938999999999997,3.665,12.86,3.232,36.407000000000004,21.01,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-final-k0/G1-R2-LL-Graded-Seed2026-s2026/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-final-k0__G1-R2-LL-Graded-Seed2026-s2026__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-final-k0/G1-R2-LL-Graded-Seed2026-s2026/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning,,
06b,reler,42,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-Pairwise050,gpt4-reasoning,complete,12,,27.149583333333332,47.906,48.772999999999996,31.136000000000003,40.914,18.446,34.369,26.6,6.837999999999999,9.445,2.69,38.923,19.755,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-final-k0/G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-Pairwise050-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-final-k0__G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-Pairwise050-s42__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-final-k0/G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-Pairwise050-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning,,
06b,reler,3407,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-Pairwise050-Seed3407,gpt4-reasoning,complete,12,,27.194333333333333,48.095,49.156,30.434,41.609,18.598,32.78,26.512,6.168,10.427,3.1300000000000003,39.623999999999995,19.799,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-final-k0/G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-Pairwise050-Seed3407-s3407/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-final-k0__G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-Pairwise050-Seed3407-s3407__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-final-k0/G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-Pairwise050-Seed3407-s3407/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning,,
06b,reler,2026,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-Pairwise050-Seed2026,gpt4-reasoning,complete,12,,27.104916666666668,48.376999999999995,48.856,30.509999999999998,40.802,19.458000000000002,31.936999999999998,26.518000000000004,7.609000000000001,9.573,2.8049999999999997,39.138,19.676,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-final-k0/G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-Pairwise050-Seed2026-s2026/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-final-k0__G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-Pairwise050-Seed2026-s2026__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-final-k0/G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K0-T1-Pairwise050-Seed2026-s2026/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning,,
bge-m3,e0,42,G1-BGE-M3-E0,gpt4-reasoning,complete,12,,21.448416666666667,28.304000000000002,38.098,23.119999999999997,34.823,15.007000000000001,23.921,18.407999999999998,24.284,11.57,1.5230000000000001,24.022,14.301,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-bge-m3-main/G1-BGE-M3-E0-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/BAAI__bge-m3__tokens-v2__pool-fp32/5617a9f61b028005a4858fdac845db406aefb181/BrightRetrieval.json,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-bge-m3-main/G1-BGE-M3-E0-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning,,
bge-m3,infonce,42,G1-BGE-M3-INFONCE,gpt4-reasoning,complete,12,,20.694833333333335,36.828,42.692,23.319000000000003,31.075000000000003,17.136000000000003,21.916,24.223,20.088,4.612,1.2409999999999999,13.067,12.141,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-bge-m3-main/G1-BGE-M3-INFONCE-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-bge-m3-main__G1-BGE-M3-INFONCE-s42__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-bge-m3-main/G1-BGE-M3-INFONCE-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning,,
bge-m3,infonce,3407,G1-BGE-M3-INFONCE-Seed3407,gpt4-reasoning,complete,12,,20.634333333333334,37.647000000000006,43.620999999999995,23.155,30.789,17.438000000000002,21.428,23.599999999999998,19.869,3.9120000000000004,1.0250000000000001,13.181000000000001,11.947000000000001,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-bge-m3-main/G1-BGE-M3-INFONCE-Seed3407-s3407/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-bge-m3-main__G1-BGE-M3-INFONCE-Seed3407-s3407__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-bge-m3-main/G1-BGE-M3-INFONCE-Seed3407-s3407/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning,,
bge-m3,infonce,2026,G1-BGE-M3-INFONCE-Seed2026,gpt4-reasoning,complete,12,,20.517916666666668,36.711,42.480000000000004,24.102,30.606,17.683,21.954,23.507,19.343,4.31,1.001,12.727,11.791,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-bge-m3-main/G1-BGE-M3-INFONCE-Seed2026-s2026/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-bge-m3-main__G1-BGE-M3-INFONCE-Seed2026-s2026__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-bge-m3-main/G1-BGE-M3-INFONCE-Seed2026-s2026/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning,,
bge-m3,lambdaloss,42,G1-BGE-M3-LAMBDALOSS,gpt4-reasoning,complete,12,,19.12125,39.007,43.293,22.509999999999998,25.967000000000002,14.959,19.375999999999998,23.124,16.64,8.924,1.97,5.4239999999999995,8.261000000000001,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-bge-m3-main/G1-BGE-M3-LAMBDALOSS-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-bge-m3-main__G1-BGE-M3-LAMBDALOSS-s42__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-bge-m3-main/G1-BGE-M3-LAMBDALOSS-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning,,
bge-m3,lambdaloss,3407,G1-BGE-M3-LAMBDALOSS-Seed3407,gpt4-reasoning,complete,12,,19.02991666666667,38.888,42.518,22.286,24.682000000000002,14.741000000000001,18.798000000000002,22.933,18.563,8.870000000000001,1.838,5.987,8.254999999999999,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-bge-m3-main/G1-BGE-M3-LAMBDALOSS-Seed3407-s3407/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-bge-m3-main__G1-BGE-M3-LAMBDALOSS-Seed3407-s3407__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-bge-m3-main/G1-BGE-M3-LAMBDALOSS-Seed3407-s3407/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning,,
bge-m3,lambdaloss,2026,G1-BGE-M3-LAMBDALOSS-Seed2026,gpt4-reasoning,complete,12,,19.235083333333332,38.22,42.408,21.93,26.373,15.223999999999998,19.723,22.951,17.894,9.304,2.0580000000000003,6.471,8.265,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-bge-m3-main/G1-BGE-M3-LAMBDALOSS-Seed2026-s2026/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-bge-m3-main__G1-BGE-M3-LAMBDALOSS-Seed2026-s2026__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-bge-m3-main/G1-BGE-M3-LAMBDALOSS-Seed2026-s2026/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning,,
bge-m3,reler,42,G1-BGE-M3-RELER,gpt4-reasoning,complete,12,,23.76966666666667,44.812000000000005,47.077000000000005,25.593,38.041000000000004,18.167,24.426000000000002,23.921999999999997,29.37,1.497,1.173,19.336000000000002,11.822000000000001,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-bge-m3-main/G1-BGE-M3-RELER-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-bge-m3-main__G1-BGE-M3-RELER-s42__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-bge-m3-main/G1-BGE-M3-RELER-s42/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning,,
bge-m3,reler,3407,G1-BGE-M3-RELER-Seed3407,gpt4-reasoning,complete,12,,23.908333333333335,44.961,47.464,25.592,38.094,18.009,24.981,23.623,30.483,1.543,0.985,19.320999999999998,11.844000000000001,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-bge-m3-main/G1-BGE-M3-RELER-Seed3407-s3407/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-bge-m3-main__G1-BGE-M3-RELER-Seed3407-s3407__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-bge-m3-main/G1-BGE-M3-RELER-Seed3407-s3407/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning,,
bge-m3,reler,2026,G1-BGE-M3-RELER-Seed2026,gpt4-reasoning,complete,12,,23.842583333333334,44.237,47.326,25.424999999999997,38.356,17.774,24.815,24.104,30.098999999999997,1.395,1.086,19.505,11.988999999999999,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-bge-m3-main/G1-BGE-M3-RELER-Seed2026-s2026/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning/iclr2027-bge-m3-main__G1-BGE-M3-RELER-Seed2026-s2026__tokens-v2__pool-fp32/no_revision_available/BrightRetrieval.json,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-bge-m3-main/G1-BGE-M3-RELER-Seed2026-s2026/mteb_eval/bright_gpt_reasoning/query-gpt4-reasoning,,
