run,group,dataset,count,answer_recall_at_5,answer_recall_at_10,answer_recall_at_20,answer_mrr_at_10,answer_mrr_at_20,evidence_group_recall_at_5,evidence_group_recall_at_10,evidence_group_recall_at_20,all_evidence_success_at_5,all_evidence_success_at_10,all_evidence_success_at_20,evidence_mapping_success,generator_em,generator_token_f1,source
R1-RetRL-NDCG,round1,bamboogle,125,0.208,0.264,0.352,0.1208,0.1269,,,,,,,,0.216,0.302,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/data/rag/eval/g3_retrl_ndcg_s42/summary.json
R1-RetRL-NDCG,round1,training_domain_avg,,0.5954,0.6596,0.713,0.4814,0.4852,,,,,,,,0.3458,0.4484,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/data/rag/eval/g3_retrl_ndcg_s42/summary.json
R1-RetRL-NDCG,round1,held_out_avg,,0.4458,0.5017,0.5599,0.3559,0.36,,,,,,,,0.3175,0.3928,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/data/rag/eval/g3_retrl_ndcg_s42/summary.json
R1-RetRL-NDCG,round1,macro_avg,,0.4885,0.5468,0.6037,0.3918,0.3957,,,,,,,,0.3256,0.4087,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/data/rag/eval/g3_retrl_ndcg_s42/summary.json
G3-R2-CL-AnswerMasked-Anchor050,g3-r2,nq,3610,0.7357,0.7986,0.8454,0.6097,0.613,,,,,,,,0.3701,0.4798,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-AnswerMasked-Anchor050-s42/qa_eval/summary.json
G3-R2-CL-AnswerMasked-Anchor050,g3-r2,hotpotqa,7405,0.4174,0.4673,0.5137,0.3448,0.348,0.0828,0.0918,0.0999,0.0259,0.0398,0.0531,0.1529,0.2966,0.3917,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-AnswerMasked-Anchor050-s42/qa_eval/summary.json
G3-R2-CL-AnswerMasked-Anchor050,g3-r2,popqa,14267,0.7194,0.7761,0.8164,0.6145,0.6173,,,,,,,,0.4207,0.492,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-AnswerMasked-Anchor050-s42/qa_eval/summary.json
G3-R2-CL-AnswerMasked-Anchor050,g3-r2,triviaqa,11313,0.7327,0.7808,0.8162,0.6333,0.6358,,,,,,,,0.6016,0.6878,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-AnswerMasked-Anchor050-s42/qa_eval/summary.json
G3-R2-CL-AnswerMasked-Anchor050,g3-r2,2wikimultihopqa,12576,0.2909,0.3418,0.3901,0.2272,0.2306,0.1856,0.196,0.2057,0.0198,0.0348,0.0523,0.3746,0.2381,0.3012,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-AnswerMasked-Anchor050-s42/qa_eval/summary.json
G3-R2-CL-AnswerMasked-Anchor050,g3-r2,musique,2417,0.168,0.2114,0.2623,0.1213,0.1248,0.078,0.0859,0.0914,0.0083,0.0116,0.0153,0.2052,0.0563,0.1243,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-AnswerMasked-Anchor050-s42/qa_eval/summary.json
G3-R2-CL-AnswerMasked-Anchor050,g3-r2,bamboogle,125,0.176,0.216,0.336,0.0981,0.1058,,,,,,,,0.192,0.2797,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-AnswerMasked-Anchor050-s42/qa_eval/summary.json
G3-R2-CL-AnswerMasked-Anchor050,g3-r2,training_domain_avg,,0.5766,0.6329,0.6796,0.4773,0.4805,,,,,,,,0.3333,0.4358,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-AnswerMasked-Anchor050-s42/qa_eval/summary.json
G3-R2-CL-AnswerMasked-Anchor050,g3-r2,held_out_avg,,0.4174,0.4652,0.5242,0.3389,0.3429,,,,,,,,0.3017,0.377,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-AnswerMasked-Anchor050-s42/qa_eval/summary.json
G3-R2-CL-AnswerMasked-Anchor050,g3-r2,macro_avg,,0.4629,0.5131,0.5686,0.3784,0.3822,,,,,,,,0.3108,0.3938,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-AnswerMasked-Anchor050-s42/qa_eval/summary.json
G3-R2-CL-AnswerMasked,g3-r2,nq,3610,0.7316,0.7994,0.8424,0.6061,0.6091,,,,,,,,0.369,0.476,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-AnswerMasked-s42/qa_eval/summary.json
G3-R2-CL-AnswerMasked,g3-r2,hotpotqa,7405,0.4093,0.4544,0.502,0.3392,0.3425,0.0811,0.0897,0.0963,0.0227,0.0359,0.046,0.1529,0.2895,0.3844,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-AnswerMasked-s42/qa_eval/summary.json
G3-R2-CL-AnswerMasked,g3-r2,popqa,14267,0.7175,0.7741,0.8145,0.6114,0.6142,,,,,,,,0.4177,0.4894,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-AnswerMasked-s42/qa_eval/summary.json
G3-R2-CL-AnswerMasked,g3-r2,triviaqa,11313,0.723,0.7705,0.8092,0.6225,0.6253,,,,,,,,0.5982,0.683,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-AnswerMasked-s42/qa_eval/summary.json
G3-R2-CL-AnswerMasked,g3-r2,2wikimultihopqa,12576,0.2886,0.3375,0.3857,0.2266,0.23,0.185,0.1953,0.2043,0.0193,0.034,0.0503,0.3746,0.2342,0.2983,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-AnswerMasked-s42/qa_eval/summary.json
G3-R2-CL-AnswerMasked,g3-r2,musique,2417,0.1622,0.2023,0.2507,0.1171,0.1205,0.0786,0.0852,0.0895,0.0083,0.0103,0.0137,0.2052,0.0563,0.1212,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-AnswerMasked-s42/qa_eval/summary.json
G3-R2-CL-AnswerMasked,g3-r2,bamboogle,125,0.16,0.216,0.32,0.0946,0.1016,,,,,,,,0.192,0.2622,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-AnswerMasked-s42/qa_eval/summary.json
G3-R2-CL-AnswerMasked,g3-r2,training_domain_avg,,0.5704,0.6269,0.6722,0.4726,0.4758,,,,,,,,0.3293,0.4302,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-AnswerMasked-s42/qa_eval/summary.json
G3-R2-CL-AnswerMasked,g3-r2,held_out_avg,,0.4102,0.4601,0.516,0.3344,0.3383,,,,,,,,0.2997,0.3708,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-AnswerMasked-s42/qa_eval/summary.json
G3-R2-CL-AnswerMasked,g3-r2,macro_avg,,0.456,0.5078,0.5606,0.3739,0.3776,,,,,,,,0.3081,0.3878,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-AnswerMasked-s42/qa_eval/summary.json
G3-R2-CL-Binary,g3-r2,nq,3610,0.7313,0.7992,0.8424,0.6047,0.6077,,,,,,,,0.3612,0.4709,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-Binary-s42/qa_eval/summary.json
G3-R2-CL-Binary,g3-r2,hotpotqa,7405,0.4043,0.4488,0.4916,0.3365,0.3394,0.0807,0.0882,0.0946,0.0217,0.0335,0.0429,0.1529,0.2889,0.3832,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-Binary-s42/qa_eval/summary.json
G3-R2-CL-Binary,g3-r2,popqa,14267,0.7179,0.774,0.8146,0.6116,0.6145,,,,,,,,0.4177,0.49,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-Binary-s42/qa_eval/summary.json
G3-R2-CL-Binary,g3-r2,triviaqa,11313,0.7178,0.7655,0.8052,0.6168,0.6196,,,,,,,,0.5922,0.6764,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-Binary-s42/qa_eval/summary.json
G3-R2-CL-Binary,g3-r2,2wikimultihopqa,12576,0.2875,0.3361,0.3836,0.226,0.2293,0.1852,0.1951,0.2041,0.0192,0.0335,0.0499,0.3746,0.2316,0.2957,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-Binary-s42/qa_eval/summary.json
G3-R2-CL-Binary,g3-r2,musique,2417,0.1609,0.1998,0.247,0.1145,0.1177,0.0779,0.085,0.0894,0.007,0.0099,0.0137,0.2052,0.0546,0.1215,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-Binary-s42/qa_eval/summary.json
G3-R2-CL-Binary,g3-r2,bamboogle,125,0.152,0.208,0.304,0.0963,0.1023,,,,,,,,0.184,0.2677,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-Binary-s42/qa_eval/summary.json
G3-R2-CL-Binary,g3-r2,training_domain_avg,,0.5678,0.624,0.667,0.4706,0.4736,,,,,,,,0.325,0.427,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-Binary-s42/qa_eval/summary.json
G3-R2-CL-Binary,g3-r2,held_out_avg,,0.4072,0.4567,0.5109,0.333,0.3367,,,,,,,,0.296,0.3703,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-Binary-s42/qa_eval/summary.json
G3-R2-CL-Binary,g3-r2,macro_avg,,0.4531,0.5045,0.5555,0.3723,0.3758,,,,,,,,0.3043,0.3865,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-Binary-s42/qa_eval/summary.json
G3-R2-CL-Graded,g3-r2,nq,3610,0.7316,0.7994,0.8424,0.6061,0.6091,,,,,,,,0.369,0.476,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-Graded-s42/qa_eval/summary.json
G3-R2-CL-Graded,g3-r2,hotpotqa,7405,0.4093,0.4544,0.502,0.3392,0.3425,0.0811,0.0897,0.0963,0.0227,0.0359,0.046,0.1529,0.2895,0.3844,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-Graded-s42/qa_eval/summary.json
G3-R2-CL-Graded,g3-r2,popqa,14267,0.7175,0.7741,0.8145,0.6114,0.6142,,,,,,,,0.4177,0.4894,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-Graded-s42/qa_eval/summary.json
G3-R2-CL-Graded,g3-r2,triviaqa,11313,0.723,0.7705,0.8092,0.6225,0.6253,,,,,,,,0.5982,0.683,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-Graded-s42/qa_eval/summary.json
G3-R2-CL-Graded,g3-r2,2wikimultihopqa,12576,0.2886,0.3375,0.3857,0.2266,0.23,0.185,0.1953,0.2043,0.0193,0.034,0.0503,0.3746,0.2342,0.2983,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-Graded-s42/qa_eval/summary.json
G3-R2-CL-Graded,g3-r2,musique,2417,0.1622,0.2023,0.2507,0.1171,0.1205,0.0786,0.0852,0.0895,0.0083,0.0103,0.0137,0.2052,0.0563,0.1212,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-Graded-s42/qa_eval/summary.json
G3-R2-CL-Graded,g3-r2,bamboogle,125,0.16,0.216,0.32,0.0946,0.1016,,,,,,,,0.192,0.2622,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-Graded-s42/qa_eval/summary.json
G3-R2-CL-Graded,g3-r2,training_domain_avg,,0.5704,0.6269,0.6722,0.4726,0.4758,,,,,,,,0.3293,0.4302,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-Graded-s42/qa_eval/summary.json
G3-R2-CL-Graded,g3-r2,held_out_avg,,0.4102,0.4601,0.516,0.3344,0.3383,,,,,,,,0.2997,0.3708,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-Graded-s42/qa_eval/summary.json
G3-R2-CL-Graded,g3-r2,macro_avg,,0.456,0.5078,0.5606,0.3739,0.3776,,,,,,,,0.3081,0.3878,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-Graded-s42/qa_eval/summary.json
G3-R2-CL-Strong-AnswerMasked,g3-r2,nq,3610,0.7319,0.7989,0.8416,0.6065,0.6096,,,,,,,,0.369,0.4782,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-Strong-AnswerMasked-s42/qa_eval/summary.json
G3-R2-CL-Strong-AnswerMasked,g3-r2,hotpotqa,7405,0.4092,0.4548,0.5017,0.3393,0.3426,0.0811,0.0896,0.0962,0.0227,0.0359,0.0456,0.1529,0.2898,0.3853,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-Strong-AnswerMasked-s42/qa_eval/summary.json
G3-R2-CL-Strong-AnswerMasked,g3-r2,popqa,14267,0.7171,0.7743,0.8146,0.6119,0.6148,,,,,,,,0.4194,0.4918,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-Strong-AnswerMasked-s42/qa_eval/summary.json
G3-R2-CL-Strong-AnswerMasked,g3-r2,triviaqa,11313,0.7234,0.7709,0.8097,0.623,0.6258,,,,,,,,0.5979,0.6822,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-Strong-AnswerMasked-s42/qa_eval/summary.json
G3-R2-CL-Strong-AnswerMasked,g3-r2,2wikimultihopqa,12576,0.2883,0.3375,0.3861,0.2266,0.23,0.185,0.1953,0.2043,0.0192,0.034,0.0503,0.3746,0.2335,0.2971,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-Strong-AnswerMasked-s42/qa_eval/summary.json
G3-R2-CL-Strong-AnswerMasked,g3-r2,musique,2417,0.1638,0.2023,0.2499,0.1169,0.1203,0.0784,0.0852,0.0895,0.0083,0.0103,0.0137,0.2052,0.0567,0.1226,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-Strong-AnswerMasked-s42/qa_eval/summary.json
G3-R2-CL-Strong-AnswerMasked,g3-r2,bamboogle,125,0.16,0.216,0.32,0.0937,0.1006,,,,,,,,0.192,0.2622,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-Strong-AnswerMasked-s42/qa_eval/summary.json
G3-R2-CL-Strong-AnswerMasked,g3-r2,training_domain_avg,,0.5705,0.6269,0.6716,0.4729,0.4761,,,,,,,,0.3294,0.4318,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-Strong-AnswerMasked-s42/qa_eval/summary.json
G3-R2-CL-Strong-AnswerMasked,g3-r2,held_out_avg,,0.4105,0.4602,0.516,0.3344,0.3383,,,,,,,,0.2999,0.3712,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-Strong-AnswerMasked-s42/qa_eval/summary.json
G3-R2-CL-Strong-AnswerMasked,g3-r2,macro_avg,,0.4562,0.5078,0.5605,0.374,0.3776,,,,,,,,0.3083,0.3885,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-CL-Strong-AnswerMasked-s42/qa_eval/summary.json
G3-R2-RL-AnswerF1-Anchor050,g3-r2,nq,3610,0.703,0.7731,0.8241,0.5642,0.5679,,,,,,,,0.3584,0.4656,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-AnswerF1-Anchor050-s42/qa_eval/summary.json
G3-R2-RL-AnswerF1-Anchor050,g3-r2,hotpotqa,7405,0.5002,0.5573,0.6115,0.3963,0.4,0.0937,0.1069,0.1167,0.0513,0.071,0.086,0.1529,0.3329,0.4347,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-AnswerF1-Anchor050-s42/qa_eval/summary.json
G3-R2-RL-AnswerF1-Anchor050,g3-r2,popqa,14267,0.7123,0.767,0.8086,0.6052,0.6081,,,,,,,,0.422,0.4943,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-AnswerF1-Anchor050-s42/qa_eval/summary.json
